Elevation (m),Area (sq.km),Storage (mcm)
858,0.0018,0.0009
859,0.0036,0.0036
860,0.0072,0.009
861,0.0081,0.0166
862,0.0126,0.027
863,0.0153,0.041
864,9.4347,4.7659
865,9.5166,14.2416
866,9.5472,23.7735
867,9.5994,33.3468
868,9.6345,42.9638
869,9.6894,52.6257
870,9.7578,62.3493
871,9.8091,72.1328
872,9.8721,81.9734
873,9.9351,91.877
874,9.9963,101.8426
875,10.0494,111.8655
876,10.1106,121.9455
877,10.1745,132.0881
878,10.2447,142.2976
879,10.3032,152.5716
880,10.3554,162.9009
881,10.4166,173.2869
882,10.4688,183.7296
883,10.5237,194.2259
884,10.5831,204.7793
885,10.6317,215.3867
886,10.6749,226.04
887,10.7244,236.7396
888,10.7649,247.4843
889,10.8135,258.2735
890,10.8558,269.1081
891,10.908,279.99
892,10.9458,290.9169
893,10.9971,301.8884
894,11.0394,312.9066
895,11.0835,323.9681
896,11.1258,335.0727
897,11.169,346.2201
898,11.2014,357.4053
899,11.2437,368.6279
900,11.2815,379.8905
901,11.3184,391.1904
902,11.3445,402.5219
903,11.3868,413.8876
904,11.4183,425.2901
905,11.4579,436.7282
906,11.4939,448.2041
907,11.5407,459.7214
908,11.5776,471.2806
909,11.6073,482.873
910,11.6415,494.4974
911,11.6847,506.1604
912,11.7207,517.8632
913,11.7558,529.6014
914,11.7909,541.3748
915,11.8215,553.181
916,11.8494,565.0165
917,11.8701,576.8762
918,11.8962,588.7594
919,11.9277,600.6714
920,11.9511,612.6107
921,11.9817,624.5772
922,12.0114,636.5736
923,12.0375,648.5982
924,12.0672,660.6505
925,12.0924,672.7303
926,12.1212,684.8371
927,12.1455,696.9704
928,12.1752,709.1308
929,12.1977,721.3172
