m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,1998,23.79,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,1999,23.915,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2000,24.04,10^9 m3/year,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2001,24.607175839,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2002,25.174351677,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2003,25.741527516,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2004,26.36,10^9 m3/year,A,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2005,26.372863788,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2006,26.385727576,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2007,26.398591364,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2008,26.411455153,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2009,26.424318941,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2010,26.437182729,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2011,26.450046517,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2012,26.462910305,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2013,26.475774093,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2014,26.488637881,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2015,26.501501669,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2016,26.514365457,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2017,27.210754525,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2018,25.347241897,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2020,16.1196,10^9 m3/year,A,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2021,16.1196,10^9 m3/year,I,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal,Turkmenistan,2022,16.1196,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,1998,54.604285714,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,1999,54.662857143,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2000,54.721428571,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2001,54.78,10^9 m3/year,A,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2002,53.685,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2003,52.59,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2004,51.495,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2005,50.4,10^9 m3/year,A,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2006,50.068888889,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2007,49.737777778,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2008,49.406666667,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2009,49.075555556,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2010,48.744444444,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2011,48.413333333,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2012,48.082222222,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2013,47.751111111,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2014,47.42,10^9 m3/year,A,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2015,50.77,10^9 m3/year,A,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2016,50.01,10^9 m3/year,A,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2017,54.36,10^9 m3/year,A,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2018,52.0795,10^9 m3/year,I,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2020,47.2,10^9 m3/year,A,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2021,39.7,10^9 m3/year,A,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal,Uzbekistan,2022,41,10^9 m3/year,A,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,1998,96.980386508,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,1999,96.747767398,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2000,96.518663353,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2001,96.518663353,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2002,96.518663353,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2003,96.518663353,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2004,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2005,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2006,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2007,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2008,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2009,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2010,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2011,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2012,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2013,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2014,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2015,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2016,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2017,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2018,94.297774916,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2020,61.420401072,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2021,92.748704485,%,E,false
795,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Turkmenistan,2022,92.748704485,%,E,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Uzbekistan,1998,91.775213993,%,E,false
860,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Uzbekistan,1999,91.320016229,%,E,false
