m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2000,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2001,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2002,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2003,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2005,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2006,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2007,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2009,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2010,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2011,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2012,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2013,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2014,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2015,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2016,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2017,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2018,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2019,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2020,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2021,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2022,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2023,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2000,98.606201344,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2001,98.51857617,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2002,98.431106592,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2003,98.343792196,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2005,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2006,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2007,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2009,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2010,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2011,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2012,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2013,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2014,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2015,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2016,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2017,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2018,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2019,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2020,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2021,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2022,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Afghanistan,2023,98.169627299,%,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2000,993.525837906,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2001,985.983893855,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2002,935.53609048,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2003,879.776399549,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2005,819.518740078,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2006,786.655351678,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2007,771.90714945,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2009,728.170349482,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2010,707.111349903,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2011,681.484223572,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2012,654.449533662,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2013,632.456984071,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2014,609.895127618,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2015,591.160434188,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2016,576.358710907,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2017,560.397789404,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2018,544.320789579,m3/inhab/year,E,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal per capita,Afghanistan,2019,528.316147341,m3/inhab/year,E,false
