Year,Agricultural water withdrawal,Industrial water withdrawal,Municipal water withdrawal,Agricultural water withdrawal as % of total water withdrawal,Agricultural water withdrawal per capita,Environmental Flow Requirements,Industrial water withdrawal as % of total water withdrawal,Industrial water withdrawal per capita,Irrigation water requirement,Irrigation water withdrawal,Municipal water withdrawal as % of total withdrawal,Municipal water withdrawal per capita (total population),Total water withdrawal,Total water withdrawal per capita,Water withdrawal for aquaculture,Water withdrawal for cooling of thermoelectric plants,Water withdrawal for livestock (watering and cleaning)
1998,54.604285714,1.815571429,3.078,91.775213993,2262.458933038,14,3.05149045,75.225886456,,,5.173295557,127.533004137,59.497857143,2465.21782363,,,
1999,54.662857143,1.993714286,3.202,91.320016229,2233.324042992,14,3.330708098,81.455860192,,,5.349275674,130.821986984,59.858571429,2445.601890168,,,
2000,54.721428571,2.171857143,3.326,90.870271745,2207.661651579,14,3.606580711,87.620624172,,,5.523147544,134.182948889,60.219285714,2429.46522464,,,
2001,54.78,2.35,3.45,90.42588313,2183.315349612,14,3.879168042,93.661757422,,,5.694948828,137.503431109,60.58,2414.480538143,,,
2002,53.685,2.1375,3.6125,90.325565744,2113.584341405,14,3.596365778,84.15360957,,,6.078068478,142.224521437,59.435,2339.962472411,,,
2003,52.59,1.925,3.775,90.221307257,2045.407422484,14,3.302453251,74.869923717,,,6.476239492,146.822837419,58.29,2267.10018362,,,
2004,51.495,1.7125,3.9375,90.112870767,1978.343677426,14,2.996762621,65.791116566,,,6.890366611,151.27154539,57.145,2195.406339382,,,
2005,50.4,1.5,4.1,90,1912.207372516,14,2.678571429,56.910933706,22.52,,7.321428571,155.556552129,56,2124.674858351,,,
2006,50.068888889,1.56,3.903888889,90.160965996,1875.306430031,14,2.809151752,58.429058359,22.52,,7.029882252,146.218302381,55.532777778,2079.953790772,,,
2007,49.737777778,1.62,3.707777778,90.324663532,1836.968646847,14,2.941947981,59.83156749,22.52,,6.733388486,136.939602684,55.065555556,2033.73981702,,,
2008,49.406666667,1.68,3.511666667,90.491162734,1796.947545983,14,3.077017003,61.102520792,22.52,,6.431820263,127.721241377,54.598333333,1985.771308152,,,
2009,49.075555556,1.74,3.315555556,90.660536147,1756.504507036,14,3.214417669,62.277804248,22.52,,6.125046184,118.669839001,54.131111111,1937.452150285,,,
2010,48.744444444,1.8,3.119444444,90.832858844,1717.230069615,14,3.354210881,63.412644467,22.52,,5.812930276,109.895678606,53.663888889,1890.538392688,,,
2011,48.413333333,1.86,2.923333333,91.008208534,1679.665687779,14,3.496459678,64.531358701,22.52,,5.495331788,101.422941902,53.196666667,1845.619988382,,,
2012,48.082222222,1.92,2.727222222,91.186665683,1643.167986109,14,3.641229336,65.614324537,22.52,,5.17210498,93.200439569,52.729444444,1801.982750214,,,
2013,47.751111111,1.98,2.531111111,91.368313632,1606.479837502,14,3.788587465,66.612692443,22.52,,4.843098903,85.153598981,52.262222222,1758.246128927,,,
2014,47.42,2.04,2.335,91.55323873,1569.00405036,14,3.938604112,67.498276312,22.52,46.86,4.508157158,77.259056465,51.795,1713.761383138,0.5618,,
2015,50.77,1.959,2.407,92.081398723,1651.092026478,14,3.553032502,63.708672048,22.52,49.97,4.365568775,78.278087606,55.136,1793.078786131,0.803,,
2016,50.01,2.114,2.436,91.660557185,1598.551720452,14,3.874633431,67.57325209,22.52,49.43,4.464809384,77.865866647,54.56,1743.99083919,0.5764,,
2017,54.36,2.13,2.41,92.292020373,1708.403655179,14,3.616298812,66.940761323,22.52,53.7,4.091680815,75.740485816,58.9,1851.084902319,0.66,,
2018,52.0795,1.985,2.3735,92.2766979,1608.708236276,14,3.517133846,61.315601129,22.52,51.1315,4.20549984,73.316160846,56.438,1743.339998252,0.655,,
2020,47.2,1.8,2.3,92.007797271,1405.331900689,14,3.50877193,53.593165704,22.52,45.9,4.483430799,68.480156178,51.3,1527.405222571,0.8,0.3,0.5
2021,39.7,1.8,2.2,90.846681922,1159.337473385,14,4.118993135,52.564419448,22.52,38.5,5.034324943,64.245401548,43.7,1276.147294381,0.7,0.3,0.5
2022,41,1.2,2.3,92.134831461,1173.475279956,14,2.696629214,34.34561795,22.52,39.6,5.168539326,65.829101071,44.5,1273.649998977,0.8,0.3,0.6
